date,exAAARF,exBAARF,Y
6/1/52,0.001033333,0.0015,0.046332
7/1/52,0.00095,0.001408333,0.017629
8/1/52,0.000925,0.0014,-0.007174
9/1/52,0.001033333,0.001508333,-0.019685
10/1/52,0.001058333,0.0015,-0.00108
11/1/52,0.000941667,0.0014,0.060382
12/1/52,0.000733333,0.001183333,0.036615
1/1/53,0.000883333,0.001291667,-0.007807
2/1/53,0.000916667,0.0013,-0.00894
3/1/53,0.000925,0.0013,-0.024088
4/1/53,0.000866667,0.001216667,-0.026908
5/1/53,0.000983333,0.00135,0.005701
6/1/53,0.001075,0.001458333,-0.016066
7/1/53,0.001033333,0.001516667,0.024814
8/1/53,0.001,0.001508333,-0.051801
9/1/53,0.00125,0.001741667,0.000587
10/1/53,0.001483333,0.002033333,0.049746
11/1/53,0.001391667,0.001925,0.022963
12/1/53,0.001275,0.001783333,0.000413
1/1/54,0.001566667,0.002108333,0.052386
2/1/54,0.00165,0.0022,0.012216
3/1/54,0.001525,0.002066667,0.02973
4/1/54,0.001566667,0.002083333,0.047458
5/1/54,0.001766667,0.002258333,0.042277
6/1/54,0.001883333,0.002375,0.001867
7/1/54,0.001808333,0.002316667,0.058201
8/1/54,0.001625,0.002141667,-0.026394
9/1/54,0.001566667,0.00205,0.0816
10/1/54,0.001575,0.002066667,-0.018567
11/1/54,0.001633333,0.0021,0.095174
12/1/54,0.001458333,0.001916667,0.053488
1/1/55,0.001425,0.001858333,0.017276
2/1/55,0.001466667,0.001916667,0.012626
3/1/55,0.00145,0.001833333,-0.003242
4/1/55,0.001183333,0.001583333,0.038843
5/1/55,0.001325,0.001708333,0.005033
6/1/55,0.001366667,0.00175,0.0803
7/1/55,0.001216667,0.0016,0.056646
8/1/55,0.001008333,0.001383333,-0.002248
9/1/55,0.000883333,0.001266667,0.009686
10/1/55,0.000725,0.001133333,-0.032268
11/1/55,0.000716667,0.001116667,0.086125
12/1/55,0.000508333,0.0009,-0.002109
1/1/56,0.000583333,0.000991667,-0.037257
