"","date","z_minus_3","z_minus_2","z_minus_1","z_0","z_1","z_2","z_3","Y"
"354",1959-06-01,0.0332594547840605,0.0332593813998205,0.0332586476192794,0.0332513179222923,0.0331788228844997,0.0325259226205044,0.0294049720236214,-0.003225
"355",1959-07-01,0.0213227775846063,0.0213227858061199,0.0213228680208937,0.0213236914429712,0.0213320475787786,0.021423404157559,0.022162507132404,0.032004
"356",1959-08-01,0.0276592286667477,0.0276591697998175,0.0276585812397989,0.0276527031532534,0.0275946633452154,0.0270796433796193,0.0247770116793051,-0.012976
"357",1959-09-01,0.0265813506470043,0.0265812173394129,0.026579884544491,0.0265665822839956,0.026436080180688,0.0253427754403999,0.0216973507789804,-0.046282
"358",1959-10-01,0.00309707150639863,0.00309717173069326,0.00309817378103126,0.00310818042394494,0.00320688240869535,0.00407551800079644,0.00790938708015255,0.009574
"359",1959-11-01,0.00777528855726681,0.00777532859053155,0.00777572882759084,0.00777972445506825,0.0078190185229937,0.00815573873083652,0.0094688470750544,0.015886
"360",1959-12-01,0.0106936431397367,0.0106936425870268,0.0106936370515016,0.0106935804399359,0.0106928921912909,0.0106766749041753,0.0103894381923015,0.026227
"361",1960-01-01,0.00778751397256449,0.00778752213306088,0.00778760372365695,0.00778841703428027,0.00779629636044107,0.00785454996555699,0.00788651579801012,-0.073233
"362",1960-02-01,-0.000824682185355893,-0.000824661518000745,-0.000824454887045961,-0.000822391582067807,-0.000802054005195946,-0.000624074873021028,0.00016109496282699,0.011022
"363",1960-03-01,0.00231782005710809,0.00231780897828671,0.00231769826499426,0.00231659298243943,0.00230572127484942,0.0022123331148231,0.00185197473959613,-0.016066
"364",1960-04-01,-0.00205748219773757,-0.00205746671381563,-0.00205731190310472,-0.00205576461935564,-0.00204037469462608,-0.0018951706214953,-0.00105923836668874,-0.018013
"365",1960-05-01,-0.00479867637394133,-0.00479867216694673,-0.00479863009635997,-0.00479821018015968,-0.00479408852281631,-0.00475932842162643,-0.00462698671847247,0.030813
"366",1960-06-01,-0.00441346992789239,-0.00441346136579905,-0.00441337576174799,-0.00441252100479495,-0.00440409966886857,-0.00433073275833048,-0.00401936682350949,0.019402
"367",1960-07-01,-0.00213864771205923,-0.00213864012365638,-0.00213856426520586,-0.00213780724611749,-0.00213039053982407,-0.00206907750685473,-0.00188125599108254,-0.024248
