,date,z_minus_3,z_minus_2,z_minus_1,z_0,z_1,z_2,z_3,Y,,,,,,,,,,,,,,,,
204,12/1/46,0.010337932,0.010335159,0.010309124,0.010143713,0.009836082,0.009742806,0.010026447,0.046518,0.0004809,0.000480771,0.00047956,0.000471865,0.000457555,0.000453216,0.00046641,0.000472388,,,,,,,,
205,1/1/47,0.009221194,0.00921819,0.009189852,0.009013182,0.008963289,0.010078437,0.010976833,0.021713,0.00020022,0.000200155,0.000199539,0.000195703,0.00019462,0.000218833,0.00023834,0.000242844,,,,,,,,
206,2/1/47,0.030643624,0.030635032,0.030550776,0.029801754,0.025438728,0.016980897,0.012307473,-0.008607,-0.00026375,-0.000263676,-0.000262951,-0.000256504,-0.000218951,-0.000146155,-0.00010593,-9.83102E-05,,,,,,,,
207,3/1/47,0.00129912,0.001309041,0.001403217,0.002086155,0.004946855,0.009731629,0.010998197,-0.015308,-1.98869E-05,-2.00388E-05,-2.14804E-05,-3.19349E-05,-7.57264E-05,-0.000148972,-0.00016836,-0.000169757,,,,,,,,
208,4/1/47,0.012609767,0.012607669,0.012587723,0.012451955,0.012121384,0.011651297,0.011616964,-0.03986,-0.000502625,-0.000502542,-0.000501747,-0.000496335,-0.000483158,-0.000464421,-0.000463052,-0.00046532,,,,,,,,
209,5/1/47,0.011492757,0.011490415,0.011468334,0.011331711,0.011277147,0.011865189,0.012442595,-0.00129,-1.48257E-05,-1.48226E-05,-1.47942E-05,-1.46179E-05,-1.45475E-05,-1.53061E-05,-1.60509E-05,-1.62528E-05,,,,,,,,
210,6/1/47,0.006533763,0.006530869,0.006504126,0.006371562,0.006986042,0.0106225,0.013333362,0.053691,0.000350804,0.000350649,0.000349213,0.000342096,0.000375088,0.000570333,0.000715882,0.000745488,,,,,,,,
211,7/1/47,0.022180118,0.022176026,0.022136657,0.021835228,0.020418806,0.016534499,0.014472589,0.039272,0.000871058,0.000870897,0.000869351,0.000857513,0.000801887,0.000649343,0.000568368,0.000556437,,,,,,,,
212,8/1/47,0.017407486,0.017405675,0.017388345,0.01726085,0.016689248,0.01439156,0.012535464,-0.023376,-0.000406917,-0.000406875,-0.00040647,-0.00040349,-0.000390128,-0.000336417,-0.000293029,-0.000285462,,,,,,,,
213,9/1/47,0.007488807,0.007487366,0.007473949,0.00739791,0.007489066,0.008581834,0.009592206,-0.010528,-7.88422E-05,-7.8827E-05,-7.86857E-05,-7.78852E-05,-7.88449E-05,-9.03495E-05,-0.000100987,-0.000103704,,,,,,,,
214,10/1/47,0.009754138,0.009751244,0.009723691,0.009538873,0.00923982,0.009359479,0.009797297,0.019978,0.000194868,0.00019481,0.00019426,0.000190568,0.000184593,0.000186984,0.00019573,0.000198932,,,,,,,,
215,11/1/47,0.019579229,0.019576087,0.019545433,0.01929313,0.017932091,0.013717539,0.01123245,-0.018233,-0.000356988,-0.000356931,-0.000356372,-0.000351772,-0.000326956,-0.000250112,-0.000204801,-0.000197991,,,,,,,,
216,12/1/47,0.010401268,0.010399708,0.010384935,0.010289213,0.01018051,0.01046691,0.01090633,0.029984,0.000311872,0.000311825,0.000311382,0.000308512,0.000305252,0.00031384,0.000327015,0.00033129,,,,,,,,
217,1/1/48,0.010374316,0.010372008,0.010350093,0.010205566,0.010006054,0.010264023,0.010724404,-0.038443,-0.00039882,-0.000398731,-0.000397889,-0.000392333,-0.000384663,-0.00039458,-0.000412278,-0.000418029,,,,,,,,
218,2/1/48,0.011520079,0.011517552,0.011493598,0.011332888,0.010978525,0.010577369,0.010531623,-0.040932,-0.00047154,-0.000471436,-0.000470456,-0.000463878,-0.000449373,-0.000432953,-0.00043108,-0.000433205,,,,,,,,
219,3/1/48,0.012116638,0.012114276,0.012092169,0.011953658,0.011677937,0.01130512,0.011287009,0.08054,0.000975874,0.000975684,0.000973903,0.000962748,0.000940541,0.000910514,0.000909056,0.000914291,,,,,,,,
